"";"ID";"Exact.age";"Age..BNC1994.groups.";"Age.range";"Gender";"Nationality";"Place.of.birth";"Country.of.birth";"First.language";"Linguistic.origin";"Accent.dialect.as.reported";"City.town.living";"Country.living";"Duration.living..years.";"Dialect.at.Level.1";"Dialect.at.Level.2";"Dialect.at.Level.3";"Dialect.at.Level.4";"Highest.qualification";"Occupation..title";"Class..Social.grade";"Class..NS.SEC";"L2..if.bilingual.";"Foreign.languages.spoken";"Part.of.core.set.of.speakers";"No..Utterance.units.linked.to.this.Speaker.ID";"total";"age_numeric";"include";"age_bins"
"188";"S0190";55;"45-59";"50-59";"Female";"British";"St Neots. Cambs.";"England";"English";"England";"None indicated";"";"England";"55";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Activity co-ordinator";"D";"6";"";"";"Not in core set";2,411;24564;55;TRUE;"50-59"
"189";"S0191";5;"0-14";"0-10";"Male";"British";"Bedford";"England";"English";"England";"Bedfordian";"";"England";"5";"uk";"england";"south";"eastern_engl";"Unknown";"N/A";"E";"* (uncategorised)";"";"";"In core set";410;1621;5;TRUE;"0-9"
"190";"S0192";28;"25-34";"19-29";"Male";"British";"Bedford";"England";"English";"England";"RP";"";"England";"22";"uk";"england";"unspecified";"unspecified";"Graduate";"English Language Instructor";"C1";"3";"Spanish";"Korean -- level unspecified";"Not in core set";32,264;362107;28;TRUE;"20-29"
"191";"S0193";55;"45-59";"50-59";"Female";"British";"Enfield MDSX";"England";"English";"England";"Bedfordian/Londoner";"";"England";"55";"uk";"england";"unspecified";"unspecified";"Sixth-form";"Person Centered Co-Ordinater | in Learning Disabilitie (Adults)";"B";"2";"";"";"Not in core set";1,426;12395;55;TRUE;"50-59"
"192";"S0194";34;"25-34";"30-39";"Female";"British";"Bedford";"England";"English";"England";"Bedfordian";"";"England";"34";"uk";"england";"south";"eastern_engl";"Graduate";"Admin Assistant - Dental practice";"D";"6";"";"";"Not in core set";992;11835;34;TRUE;"30-39"
"193";"S0195";28;"25-34";"19-29";"Male";"British";"Bronsgrove";"England";"English";"Britain";"Normal with a brummy twang";"";"England";"28";"uk";"england";"midlands";"w_midlands";"Graduate";"Assurance Analyst";"A";"01:02";"";"";"In core set";927;5598;28;TRUE;"20-29"
"194";"S0196";31;"25-34";"30-39";"Female";"British";"Bedford";"England";"English";"England/America";"Bedfordian";"";"England";"31";"uk";"england";"south";"eastern_engl";"Sixth-form";"Recruitment Consultant";"B";"2";"";"";"Not in core set";1,079;10981;31;TRUE;"30-39"
"195";"S0197";51;"45-59";"50-59";"Male";"British";"Liverpool";"England";"English";"England";"Southern/London";"";"England";"51";"uk";"england";"south";"london";"Sixth-form";"Buyer";"B";"2";"";"";"In core set";2,155;17059;51;TRUE;"50-59"
"196";"S0198";27;"25-34";"19-29";"Female";"British";"Gillingham, Kent";"England";"English";"England";"South Easten";"";"England";"27";"uk";"england";"south";"southeast";"Graduate";"Student";"E";"* (uncategorised)";"";"";"Not in core set";17,646;164818;27;TRUE;"20-29"
"197";"S0199";52;"45-59";"50-59";"Female";"British";"Enfield, Middlesex";"England";"English";"England";"Bedfordian";"";"England";"52";"uk";"england";"south";"eastern_engl";"Sixth-form";"Learning & Development Assistant";"D";"6";"";"";"In core set";6,199;52249;52;TRUE;"50-59"
"198";"S0200";21;"15-24";"19-29";"Male";"British";"London";"England";"English";"England";"North London";"Enfield";"England";"21 years";"uk";"england";"south";"london";"Graduate";"Student";"E";"* (uncategorised)";"";"";"Not in core set";320;2773;21;TRUE;"20-29"
"199";"S0201";20;"15-24";"19-29";"Male";"British";"Nairobi";"Kenya";"English";"England";"London";"Bristol";"England";"3 years";"uk";"england";"south";"london";"Sixth-form";"Student";"E";"* (uncategorised)";"Kikuyu";"";"Not in core set";81;564;20;TRUE;"20-29"
"200";"S0202";23;"15-24";"19-29";"Female";"British";"Doncaster, Yorkshire";"England";"English";"England";"Yorkshire";"Leeds, Yorkshire";"England";"2";"uk";"england";"north";"yorkshire";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";10,299;117720;23;TRUE;"20-29"
"201";"S0203";19;"15-24";"19-29";"Male";"British";"Doncaster, Yorkshire";"England";"English";"England";"Yorkshire";"Manchester";"England";"1";"uk";"england";"north";"yorkshire";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"In core set";1,444;19895;19;TRUE;"10-19"
"202";"S0204";20;"15-24";"19-29";"Female";"British";"Chester";"England";"English";"England";"Chester";"Leeds, Yorkshire";"England";"18 months";"uk";"england";"north";"liverpool";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";1,07;12326;20;TRUE;"20-29"
"203";"S0205";20;"15-24";"19-29";"Female";"British";"Derby";"England";"English";"England";"Derbyshire";"Leeds, Yorkshire";"England";"18 months";"uk";"england";"midlands";"e_midlands";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"In core set";682;7688;20;TRUE;"20-29"
"204";"S0206";20;"15-24";"19-29";"Female";"British";"Wakefield, West Yorkshire";"England";"English";"England";"Yorkshire";"Leeds, Yorkshire";"England";"1";"uk";"england";"north";"yorkshire";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";764;10286;20;TRUE;"20-29"
"205";"S0207";21;"15-24";"19-29";"Female";"British";"Wakefield, West Yorkshire";"England";"English";"England";"Yorkshire";"Leeds, Yorkshire";"England";"18 months";"uk";"england";"north";"yorkshire";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";730;8995;21;TRUE;"20-29"
